accession	organism	strain	level	biosample	isolation_source
GCF_022810685.1	Lactiplantibacillus plantarum	SCB0151	Complete Genome	SAMN22106488	
GCF_052692615.1	Lactiplantibacillus plantarum	K4	Complete Genome	SAMN43374856	
GCF_052373895.1	Lactiplantibacillus plantarum	M2-3	Complete Genome	SAMN50771889	
GCF_016775685.1	Lactiplantibacillus plantarum	S58	Complete Genome	SAMN17492529	
GCF_019321805.1	Lactiplantibacillus plantarum	L75a	Complete Genome	SAMN18394780	
GCF_002117245.1	Lactiplantibacillus plantarum	TMW 1.25	Complete Genome	SAMN05805044	
GCF_965286625.1	Lactiplantibacillus plantarum	IBB-BR9	Complete Genome	SAMEA118341701	
GCF_016066915.1	Lactiplantibacillus plantarum	PC518	Complete Genome	SAMN16812448	
GCF_016598735.1	Lactiplantibacillus plantarum	PC518	Complete Genome	SAMN16235222	
GCF_029906425.1	Lactiplantibacillus plantarum	HOM3201	Complete Genome	SAMN34176288	
GCF_048541615.1	Lactiplantibacillus plantarum	ZG308	Complete Genome	SAMN47195325	
GCF_057073965.1	Lactiplantibacillus plantarum	SC27	Complete Genome	SAMN40007063	
GCF_029854315.1	Lactiplantibacillus plantarum	WLPL01	Complete Genome	SAMN34160146	
GCF_001331925.2	Lactiplantibacillus plantarum	WLPL04	Complete Genome	SAMN04092618	
GCF_002117305.1	Lactiplantibacillus plantarum	TMW 1.1623	Complete Genome	SAMN05805047	
GCF_052386115.1	Lactiplantibacillus plantarum	CYLB2739	Complete Genome	SAMN50765111	
GCF_028201575.1	Lactiplantibacillus plantarum	P6	Complete Genome	SAMN32672505	
GCF_002117285.1	Lactiplantibacillus plantarum	TMW 1.708	Complete Genome	SAMN05805046	
GCF_001660025.1	Lactiplantibacillus plantarum	LZ227	Complete Genome	SAMN05162523	
GCF_029637825.1	Lactiplantibacillus plantarum	SPC-SNU-72-1	Complete Genome	SAMN33942262	
GCF_056490545.1	Lactiplantibacillus plantarum	L-1224	Complete Genome	SAMN56645246	
GCF_036287535.1	Lactiplantibacillus plantarum	Lap	Complete Genome	SAMN39497512	
GCF_031596315.1	Lactiplantibacillus plantarum	VHProbi SY	Complete Genome	SAMN37345008	
GCF_054695985.1	Lactiplantibacillus plantarum	5S-5	Complete Genome	SAMN46375243	
GCF_965286275.1	Lactiplantibacillus plantarum	E-78076	Complete Genome	SAMEA118341702	
GCF_054568115.1	Lactiplantibacillus plantarum	PMC105	Complete Genome	SAMN54619599	
GCF_003325395.1	Lactiplantibacillus plantarum	nF1	Complete Genome	SAMN09602223	
GCF_001715615.1	Lactiplantibacillus plantarum	LY-78	Complete Genome	SAMN04437173	
GCF_054031125.1	Lactiplantibacillus plantarum	ZZM01	Complete Genome	SAMN53693702	
GCF_004101625.1	Lactiplantibacillus plantarum	SRCM103418	Complete Genome	SAMN10743382	
GCF_028463965.1	Lactiplantibacillus plantarum	MWLp-12	Complete Genome	SAMN32317228	
GCF_051903995.1	Lactiplantibacillus plantarum	Hi188	Complete Genome	SAMN49819432	
GCF_004141895.1	Lactiplantibacillus plantarum	SRCM103303	Complete Genome	SAMN10849471	
GCF_004087995.1	Lactiplantibacillus plantarum	SRCM103295	Complete Genome	SAMN10743307	
GCF_024181705.1	Lactiplantibacillus plantarum	Lp-6	Complete Genome	SAMN15795379	
GCF_002117265.1	Lactiplantibacillus plantarum	TMW 1.277	Complete Genome	SAMN05805045	
GCF_004141755.1	Lactiplantibacillus plantarum	SRCM103297	Complete Genome	SAMN10849468	
GCF_016415605.1	Lactiplantibacillus plantarum	SHY 21-2	Complete Genome	SAMN17127455	
GCF_001874125.1	Lactiplantibacillus plantarum	C410L1	Complete Genome	SAMN05966974	
GCF_041725645.1	Lactiplantibacillus plantarum	JY067	Complete Genome	SAMN43016444	
GCF_047224495.1	Lactiplantibacillus plantarum	LP06	Complete Genome	SAMN46262032	
GCF_057418625.1	Lactiplantibacillus plantarum	AR501	Complete Genome	SAMN41852464	
GCF_059031825.1	Lactiplantibacillus plantarum	NC-034	Complete Genome	SAMN60563529	
GCF_040790815.1	Lactiplantibacillus plantarum	AUSA002	Complete Genome	SAMN41885156	
GCF_011022295.1	Lactiplantibacillus plantarum	X7022	Complete Genome	SAMN14069765	
GCF_009759825.1	Lactiplantibacillus plantarum	83-18	Complete Genome	SAMN13526687	
GCF_019469465.1	Lactiplantibacillus plantarum	MSD1	Complete Genome	SAMN14219255	
GCF_009937825.1	Lactiplantibacillus plantarum	SRCM101511	Complete Genome	SAMN08707604	
GCF_048009075.1	Lactiplantibacillus plantarum	C2	Complete Genome	SAMN46310993	
GCF_041344945.1	Lactiplantibacillus plantarum	MD159	Complete Genome	SAMN43087929	
GCF_046097075.1	Lactiplantibacillus plantarum	LP104	Complete Genome	SAMN44754175	
GCF_056725865.1	Lactiplantibacillus plantarum	D10	Complete Genome	SAMN54150975	
GCF_048008025.1	Lactiplantibacillus plantarum	LP4	Complete Genome	SAMN46310992	
GCF_001302645.1	Lactiplantibacillus plantarum	HFC8	Complete Genome	SAMN04038608	
GCF_036416335.1	Lactiplantibacillus plantarum	IMAUJBP3	Complete Genome	SAMN39634866	
GCF_965286415.1	Lactiplantibacillus plantarum	2MM1	Complete Genome	SAMEA118341703	
GCF_022558425.1	Lactiplantibacillus plantarum	ST	Complete Genome	SAMN24424940	
GCF_040448705.1	Lactiplantibacillus plantarum	Z45	Complete Genome	SAMN42017670	
GCF_965286495.1	Lactiplantibacillus plantarum	HF-IBB-082	Complete Genome	SAMEA118341710	
GCF_058134845.1	Lactiplantibacillus plantarum	UCPH LP5	Complete Genome	SAMN60441127	
GCF_023347215.1	Lactiplantibacillus plantarum	VHProbi V38	Complete Genome	SAMN26145752	
GCF_002220815.1	Lactiplantibacillus plantarum	GB-LP1	Complete Genome	SAMN06622701	
GCF_021559915.1	Lactiplantibacillus plantarum	A8	Complete Genome	SAMN15461262	
GCF_012109355.1	Lactiplantibacillus plantarum	SPC-SNU 72-2	Complete Genome	SAMN14478475	
GCF_052037465.1	Lactiplantibacillus plantarum	ZR79	Complete Genome	SAMN50485846	
GCF_056858315.1	Lactiplantibacillus plantarum	Pm001	Complete Genome	SAMN56553707	
GCF_027920405.1	Lactiplantibacillus plantarum	ZW59	Complete Genome	SAMN32594934	
GCF_023278325.1	Lactiplantibacillus plantarum	MNCW_1	Complete Genome	SAMN18794464	
GCF_003597635.1	Lactiplantibacillus plantarum	ATG-K2	Complete Genome	SAMN10094318	
GCF_034333585.1	Lactiplantibacillus plantarum	cqf-43	Complete Genome	SAMN37720970	
GCF_045159745.1	Lactiplantibacillus plantarum	WHH1701	Complete Genome	SAMN13870490	
GCF_058134385.1	Lactiplantibacillus plantarum	UCPH LP2	Complete Genome	SAMN60441124	
GCF_051918085.1	Lactiplantibacillus plantarum	HL-PL05	Complete Genome	SAMN50448180	
GCF_053570545.1	Lactiplantibacillus plantarum	FM-LP-BC17	Complete Genome	SAMN50841344	
GCF_017576965.1	Lactiplantibacillus plantarum	KLDS1.0386	Complete Genome	SAMN18323758	
GCF_041080595.1	Lactiplantibacillus plantarum	NS2301M	Complete Genome	SAMN42899969	
GCF_034426955.1	Lactiplantibacillus plantarum	J50	Complete Genome	SAMN38529060	
GCF_049177195.1	Lactiplantibacillus plantarum	W43	Complete Genome	SAMN47237040	
GCF_058134575.1	Lactiplantibacillus plantarum	UCPH LP4	Complete Genome	SAMN60441126	
GCF_058134485.1	Lactiplantibacillus plantarum	UCPH LP3	Complete Genome	SAMN60441125	
GCF_024181685.1	Lactiplantibacillus plantarum	P9	Complete Genome	SAMN15795378	
GCF_003611015.1	Lactiplantibacillus plantarum	NCIMB 700965	Complete Genome	SAMN07672117	
GCF_004328745.1	Lactiplantibacillus plantarum	NCIMB700965.EF.A	Complete Genome	SAMN08432977	
GCF_027474465.1	Lactiplantibacillus plantarum	LL441	Complete Genome	SAMN32307978	
GCF_004028295.1	Lactiplantibacillus plantarum	YW11	Complete Genome	SAMN10720278	
GCF_004028315.1	Lactiplantibacillus plantarum	13_3	Complete Genome	SAMN10720276	
GCF_058134505.1	Lactiplantibacillus plantarum	UCPH LP1	Complete Genome	SAMN60441123	
GCF_058134875.1	Lactiplantibacillus plantarum	UCPH LP11	Complete Genome	SAMN60441133	
GCF_058134545.1	Lactiplantibacillus plantarum	UCPH LP10	Complete Genome	SAMN60441132	
GCF_050707955.1	Lactiplantibacillus plantarum	VHProbi O19	Complete Genome	SAMN36007458	
GCF_001581895.1	Lactiplantibacillus plantarum	Zhang-LL	Complete Genome	SAMN03734222	
GCF_003999605.1	Lactiplantibacillus plantarum	Q7	Complete Genome	SAMN06324064	
GCF_040435965.1	Lactiplantibacillus plantarum	GX17	Complete Genome	SAMN41785237	
GCF_047223445.1	Lactiplantibacillus plantarum	LP45	Complete Genome	SAMN46258690	
GCF_031876755.1	Lactiplantibacillus plantarum	SYBC-SM2	Complete Genome	SAMN35788870	
GCF_002906875.1	Lactiplantibacillus plantarum subsp. plantarum	LB1-2	Complete Genome	SAMN08367724	
GCF_046529735.1	Lactiplantibacillus plantarum subsp. plantarum	BSe	Complete Genome	SAMN37982478	
GCF_018588615.2	Lactiplantibacillus plantarum subsp. plantarum	M17	Complete Genome	SAMN17313503	
GCF_018588665.2	Lactiplantibacillus plantarum subsp. plantarum	M8	Complete Genome	SAMN17313476	
GCF_059642805.1	Lactiplantibacillus plantarum subsp. plantarum	SLpl116	Complete Genome	SAMN54409435	
GCF_002174195.1	Lactiplantibacillus plantarum subsp. plantarum		Complete Genome	SAMN07167784	
GCF_019211785.1	Lactiplantibacillus plantarum subsp. plantarum	GR1187	Complete Genome	SAMN19988498	
GCF_021650875.1	Lactiplantibacillus plantarum subsp. plantarum	GR1186	Complete Genome	SAMN25145130	
GCF_019211765.1	Lactiplantibacillus plantarum subsp. plantarum	GR1184	Complete Genome	SAMN19988593	
GCF_005576935.1	Lactiplantibacillus plantarum subsp. plantarum	SKO-001	Complete Genome	SAMN11650212	
GCF_013256965.1	Lactiplantibacillus plantarum subsp. plantarum	G1	Complete Genome	SAMN14979736	
GCF_037099865.1	Lactiplantibacillus plantarum subsp. plantarum	DS0815	Complete Genome	SAMN40243375	
GCF_001272315.2	Lactiplantibacillus plantarum subsp. plantarum	CGMCC 1.557	Complete Genome	SAMN03976562	
GCF_018588605.2	Lactiplantibacillus plantarum subsp. plantarum	M19	Complete Genome	SAMN17313505	
GCF_051990715.1	Lactiplantibacillus plantarum subsp. plantarum	SST-9961	Complete Genome	SAMN48001122	
GCF_000203855.3	Lactiplantibacillus plantarum WCFS1	WCFS1	Complete Genome	SAMEA3138345	
GCF_000148815.2	Lactiplantibacillus plantarum ST-III	ST-III	Complete Genome	SAMN02603896	
GCF_000412205.1	Lactiplantibacillus plantarum 16	16	Complete Genome	SAMN02604115	
GCF_000338115.2	Lactiplantibacillus plantarum ZJ316	ZJ316	Complete Genome	SAMN02604341	
GCF_000604105.1	Lactiplantibacillus plantarum DOMLa	DOMLa	Complete Genome	SAMN05771125	
GCF_000023085.1	Lactiplantibacillus plantarum JDM1	JDM1	Complete Genome	SAMN02603864	
GCF_000466905.3	Lactiplantibacillus plantarum 2025	2025	Complete Genome	SAMN02298727	
GCF_030480505.1	Lactiplantibacillus plantarum	CM3	Chromosome	SAMN36277559	
GCF_050036925.1	Lactiplantibacillus plantarum	ATG-V8	Chromosome	SAMN47932302	
GCF_045271585.1	Lactiplantibacillus plantarum	MRD5401	Chromosome	SAMN44629809	
GCF_044758965.1	Lactiplantibacillus plantarum	HY705	Chromosome	SAMN44015999	
GCF_040084715.1	Lactiplantibacillus plantarum	BGI-N6	Chromosome	SAMN41398132	
GCF_050110895.1	Lactiplantibacillus plantarum	68zh	Chromosome	SAMN48076196	
GCF_048814805.1	Lactiplantibacillus plantarum	N3	Chromosome	SAMN47175726	
GCF_029910155.1	Lactiplantibacillus plantarum	GK502	Chromosome	SAMN30034962	
GCF_030480565.1	Lactiplantibacillus plantarum	CM1	Chromosome	SAMN36277557	
GCF_030480525.1	Lactiplantibacillus plantarum	CM4	Chromosome	SAMN36277560	
GCF_046267855.1	Lactiplantibacillus plantarum	NBC99	Chromosome	SAMN44848881	
GCF_003045665.1	Lactiplantibacillus plantarum	AS-8	Chromosome	SAMN08794385	
GCF_003045725.1	Lactiplantibacillus plantarum	AS-6	Chromosome	SAMN08794383	
GCF_003045645.1	Lactiplantibacillus plantarum	AS-10	Chromosome	SAMN08794387	
GCF_058725405.1	Lactiplantibacillus plantarum	uatensis	Chromosome	SAMN60939707	
GCF_003045705.1	Lactiplantibacillus plantarum	AS-9	Chromosome	SAMN08794386	
GCF_037992995.1	Lactiplantibacillus plantarum	SBS-CC-2127	Chromosome	SAMN38583376	
GCF_015689055.1	Lactiplantibacillus plantarum	MK55	Chromosome	SAMN16623067	
GCF_003429585.1	Lactiplantibacillus plantarum subsp. plantarum	E1	Chromosome	SAMN08455838	
GCF_965286025.1	Lactiplantibacillus plantarum	PUR-C47-01	Chromosome	SAMEA118341700	
GCF_965286635.1	Lactiplantibacillus plantarum	UH033_10	Chromosome	SAMEA118341709	
GCF_030646455.1	Lactiplantibacillus plantarum	HA9	Chromosome	SAMN36721155	
GCF_000762955.1	Lactiplantibacillus plantarum CMPG5300	CMPG5300	Chromosome	SAMN03083641	
GCF_000143745.1	Lactiplantibacillus plantarum subsp. plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437	ATCC 14917	Scaffold	SAMN00001478	
GCF_051712885.1	Lactiplantibacillus plantarum	JCM 1149	Scaffold	SAMN39097943	
GCF_001436855.1	Lactiplantibacillus plantarum	DSM 13273	Scaffold	SAMN02797770	
GCF_007989145.1	Lactiplantibacillus plantarum subsp. plantarum	NBRC 15891	Contig	SAMD00166242	
GCF_001434175.1	Lactiplantibacillus plantarum subsp. plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437	CGMCC 1.2437	Scaffold	SAMN02369435	
GCF_001720285.1	Lactiplantibacillus plantarum	JSA22	Contig	SAMN05520948	
GCF_059683765.1	Lactiplantibacillus plantarum	SGF5-M1	Contig	SAMN61439665	
GCF_052044035.1	Lactiplantibacillus plantarum	DRC2402	Contig	SAMN50311379	
GCF_052044095.1	Lactiplantibacillus plantarum	DRC2312	Contig	SAMN50311377	
GCF_030644445.1	Lactiplantibacillus plantarum	NAB1	Contig	SAMN36071663	
GCF_020131335.1	Lactiplantibacillus plantarum	DSM 8862	Contig	SAMN19090575	
GCF_984574405.1	Lactiplantibacillus plantarum		Contig	SAMEA122378603	
GCF_054655035.1	Lactiplantibacillus plantarum	SE1	Contig	SAMD00900825	
GCF_031461015.1	Lactiplantibacillus plantarum	KCKM 0594	Contig	SAMN37256206	
GCF_046353015.1	Lactiplantibacillus plantarum	LpDm48	Scaffold	SAMN40655004	
GCF_029623555.1	Lactiplantibacillus plantarum	CCHR2	Contig	SAMN32682917	
GCF_982235615.1	Lactiplantibacillus plantarum		Contig	SAMEA121907835	
GCF_003577505.1	Lactiplantibacillus plantarum	C29	Scaffold	SAMN09667219	
GCF_019879165.1	Lactiplantibacillus plantarum	LRCC5310	Contig	SAMN20981939	
GCF_902386645.1	Lactiplantibacillus plantarum		Contig	SAMEA5851890	
GCF_054456775.1	Lactiplantibacillus plantarum	dfa1	Contig	SAMN54317423	
GCF_046353045.1	Lactiplantibacillus plantarum	LpWF-D11	Scaffold	SAMN40655006	
GCF_046353025.1	Lactiplantibacillus plantarum	LpDm13	Scaffold	SAMN40655003	
GCF_046353005.1	Lactiplantibacillus plantarum	LpR3P51-LongReadAssembly	Contig	SAMN40655002	
GCF_046353035.1	Lactiplantibacillus plantarum	LpWF-F9a	Scaffold	SAMN40655005	
GCF_046353105.1	Lactiplantibacillus plantarum	LpWF-LongReadAssembly	Contig	SAMN40655001	
GCF_052044075.1	Lactiplantibacillus plantarum	DSR330	Contig	SAMN50311378	
GCF_046036855.1	Lactiplantibacillus plantarum	BALOs9	Contig	SAMN43471623	
GCF_040719475.1	Lactiplantibacillus plantarum	GMNL-661	Contig	SAMN41574430	
GCF_965286555.1	Lactiplantibacillus plantarum	10MM0	Contig	SAMEA118341705	
GCF_028656165.1	Lactiplantibacillus plantarum	24-7	Contig	SAMN33232886	
GCF_032248515.1	Lactiplantibacillus plantarum	BBM002	Contig	SAMN36663271	
GCF_023507555.1	Lactiplantibacillus plantarum	PC1-1	Contig	SAMN21236074	
GCF_965286015.1	Lactiplantibacillus plantarum	POM1	Contig	SAMEA118341704	
GCF_056782295.1	Lactiplantibacillus plantarum	HDM 1-2	Contig	SAMN57172505	
GCF_052064905.1	Lactiplantibacillus plantarum	Lp-115	Contig	SAMN47854086	
GCF_052044045.1	Lactiplantibacillus plantarum	DRC2401	Contig	SAMN50311375	
GCF_004078535.1	Lactiplantibacillus plantarum	SRCM103406	Contig	SAMN10742269	
GCF_004078645.1	Lactiplantibacillus plantarum	SRCM103411	Contig	SAMN10743275	
GCF_982235525.1	Lactiplantibacillus plantarum		Contig	SAMEA121907810	
GCF_059820405.1	Lactiplantibacillus plantarum	BMSE-HMP251	Contig	SAMN53347656	
GCF_056490405.1	Lactiplantibacillus plantarum	2DA-MRS71-1	Contig	SAMN56603016	
GCF_009756965.1	Lactiplantibacillus plantarum	BK-022	Contig	SAMN11655668	
GCF_982235775.1	Lactiplantibacillus plantarum		Contig	SAMEA121907820	
GCF_037283765.1	Lactiplantibacillus plantarum	A1440	Contig	SAMN35022409	
GCF_982235805.1	Lactiplantibacillus plantarum		Contig	SAMEA121907805	
GCF_056490425.1	Lactiplantibacillus plantarum	2DA-MRS10-2	Contig	SAMN56603424	
GCF_982235755.1	Lactiplantibacillus plantarum		Contig	SAMEA121907822	
GCF_982235315.1	Lactiplantibacillus plantarum		Contig	SAMEA121907837	
GCF_004055415.1	Lactiplantibacillus plantarum	SRCM 103305	Contig	SAMN10738671	
GCF_019308385.1	Lactiplantibacillus plantarum	wikim 18	Contig	SAMN13880208	
GCF_982235565.1	Lactiplantibacillus plantarum		Contig	SAMEA121907814	
GCF_031461055.1	Lactiplantibacillus plantarum	KCKM 0106	Contig	SAMN37221010	
GCF_982235515.1	Lactiplantibacillus plantarum		Contig	SAMEA121907816	
GCF_982235855.1	Lactiplantibacillus plantarum		Contig	SAMEA121907807	
GCF_004055435.1	Lactiplantibacillus plantarum	SRCM 103292	Contig	SAMN10738670	
GCF_004054305.1	Lactiplantibacillus plantarum	SRCM103287	Contig	SAMN10737688	
GCF_982235545.1	Lactiplantibacillus plantarum		Contig	SAMEA121907821	
GCF_025245865.1	Lactiplantibacillus plantarum	SRCM210354	Contig	SAMN30618823	
GCF_017581025.1	Lactiplantibacillus plantarum	K4	Contig	SAMN13735604	
GCF_017581045.1	Lactiplantibacillus plantarum	8.1	Contig	SAMN13735605	
GCF_026275505.1	Lactiplantibacillus plantarum	V1	Contig	SAMN31726903	
GCF_031082555.1	Lactiplantibacillus plantarum	P-8-A50-3	Contig	SAMN30429020	
GCF_031082645.1	Lactiplantibacillus plantarum	P-8-A25-3	Contig	SAMN30429017	
GCF_031082615.1	Lactiplantibacillus plantarum	P-8-A25-2	Contig	SAMN30429016	
GCF_031082605.1	Lactiplantibacillus plantarum	P-8-A100-1	Contig	SAMN30429024	
GCF_031082465.1	Lactiplantibacillus plantarum	P-8-A100-3	Contig	SAMN30429026	
GCF_031082765.1	Lactiplantibacillus plantarum	P-8-A0-1	Contig	SAMN30429012	
GCF_031082635.1	Lactiplantibacillus plantarum	P-8-A50-1	Contig	SAMN30429018	
GCF_031082715.1	Lactiplantibacillus plantarum	P-8-A0-2	Contig	SAMN30429013	
GCF_031082525.1	Lactiplantibacillus plantarum	P-8-A75-3	Contig	SAMN30429023	
GCF_031082575.1	Lactiplantibacillus plantarum	P-8-A50-2	Contig	SAMN30429019	
GCF_031082485.1	Lactiplantibacillus plantarum	P-8-A100-2	Contig	SAMN30429025	
GCF_031082705.1	Lactiplantibacillus plantarum	P-8-A0-3	Contig	SAMN30429014	
GCF_031082545.1	Lactiplantibacillus plantarum	P-8-A75-2	Contig	SAMN30429022	
GCF_031082735.1	Lactiplantibacillus plantarum	P-8-A25-1	Contig	SAMN30429015	
GCF_031082685.1	Lactiplantibacillus plantarum	P-8-A75-1	Contig	SAMN30429021	
GCF_025388655.1	Lactiplantibacillus plantarum	Y2-5	Contig	SAMN15090017	
GCF_025388695.1	Lactiplantibacillus plantarum	Y2-1	Contig	SAMN15090016	
GCF_020400695.1	Lactiplantibacillus plantarum	LPKH	Contig	SAMN21352171	
GCF_032190715.1	Lactiplantibacillus plantarum	7.8.4	Contig	SAMN37196899	
GCF_001005805.1	Lactiplantibacillus plantarum	PS128	Scaffold	SAMN03445817	
GCF_001308305.1	Lactiplantibacillus plantarum	Nizo2877	Contig	SAMN04123802	
GCF_965286335.1	Lactiplantibacillus plantarum	VUB-B043 E5M	Contig	SAMEA118341706	
GCF_000687495.1	Lactiplantibacillus plantarum	AG30	Contig	SAMN02743874	
GCF_965286095.1	Lactiplantibacillus plantarum	VUB-H044 M1	Contig	SAMEA118341707	
GCF_965286375.1	Lactiplantibacillus plantarum	VUB-H046 M4	Contig	SAMEA118341708	
GCF_965638115.1	Lactiplantibacillus plantarum	VUB-H046 M4	Contig	SAMEA118655458	
GCF_030736815.1	Lactiplantibacillus plantarum	PA21	Contig	SAMN35979776	
GCF_965213335.1	Lactiplantibacillus plantarum		Contig	SAMEA117819812	
GCF_001444495.1	Lactiplantibacillus plantarum	CRL 1506	Contig	SAMN04266587	
GCF_002914965.1	Lactiplantibacillus plantarum	BP06	Contig	SAMN07187784	
GCF_041147375.1	Lactiplantibacillus plantarum	7.2.2	Scaffold	SAMN42781994	
GCF_041520895.1	Lactiplantibacillus plantarum	NIGAB	Contig	SAMN43289556	
GCF_029997055.1	Lactiplantibacillus plantarum	Tw226	Contig	SAMN26927938	
GCF_056522385.1	Lactiplantibacillus plantarum		Contig	SAMN52956092	
GCF_026156815.1	Lactiplantibacillus plantarum	PG3	Contig	SAMN29722363	
GCF_030464525.1	Lactiplantibacillus plantarum	FCQNA27M4	Scaffold	SAMN12027233	
GCF_059036645.1	Lactiplantibacillus plantarum	ACG1-266	Contig	SAMN60941250	
GCF_026156915.1	Lactiplantibacillus plantarum	XJSC	Contig	SAMN29722436	
GCF_018991195.2	Lactiplantibacillus plantarum	3.2.8	Scaffold	SAMN18935462	
GCF_000764285.1	Lactiplantibacillus plantarum	FMNP01	Scaffold	SAMN02947174	
